userId,dishId,rating,timestamp
1,11,2.5,1260759144
1,21,3,1260759179
1,16,3,1260759182
1,6,2,1260759185
1,3,4,1260759205
1,40,2,1260759151
1,30,2,1260759187
1,21,2,1260759148
1,39,3.5,1260759125
1,21,2,1260759131
1,31,2.5,1260759135
1,40,1,1260759203
1,35,4,1260759191
1,31,4,1260759139
1,21,3,1260759194
1,7,2,1260759198
1,8,2,1260759108
1,27,2.5,1260759113
1,40,1,1260759200
1,32,3,1260759117
2,7,4,835355493
2,28,5,835355681
2,4,5,835355604
2,24,4,835355552
2,25,4,835355586
2,22,3,835356031
2,11,3,835355749
2,23,4,835355532
2,30,3,835356016
2,25,5,835355395
2,12,4,835355441
2,18,3,835355493
2,33,3,835355441
2,18,3,835355710
2,37,3,835355511
2,1,3,835355664
2,13,3,835355511
2,18,5,835355840
2,3,1,835355749
2,38,3,835355552
2,11,3,835355664
2,13,3,835355896
2,12,4,835355511
2,40,4,835355681
2,37,5,835355697
2,17,5,835355586
2,10,3,835355767
2,17,4,835355779
2,34,3,835355492
2,35,4,835355395
2,15,3,835355532
2,28,4,835356044
2,15,2,835355551
2,12,1,835355918
2,15,3,835355492
2,33,4,835355441
2,20,4,835355697
2,9,3,835355628
2,31,3,835355749
2,14,3,835355604
2,7,3,835355619
2,31,2,835355932
2,29,3,835355968
2,36,3,835356094
2,36,3,835355710
2,28,3,835356165
2,8,2,835356246
2,26,3,835355532
2,30,4,835355604
2,37,3,835355511
2,22,4,835355790
2,18,2,835355828
2,5,4,835355643
2,26,3,835355918
2,29,3,835355880
2,20,4,835355731
2,28,4,835355860
2,1,4,835355719
2,40,4,835355817
2,35,4,835355731
2,26,4,835356199
2,18,3,835355767
2,31,3,835356109
2,13,5,835355767
2,18,3,835355860
2,17,5,835355817
2,18,3,835355790
2,15,3,835355779
2,26,3,835355441
2,2,5,835355697
2,1,5,835355395
2,33,5,835355395
2,23,3,835355511
2,18,3,835355932
2,31,4,835356141
2,1,4,835355978
3,27,3,1298861675
3,3,4,1298922049
3,19,3.5,1298861637
3,31,3,1298861761
3,3,4.5,1298862418
3,31,5,1298862121
3,38,2.5,1298861589
3,37,5,1298862167
3,10,2.5,1298923242
3,26,3,1298862528
3,10,3,1298922100
3,3,3,1298923247
3,18,3,1298921840
3,6,2,1298923260
3,6,3.5,1298932787
3,17,4,1298863157
3,23,3,1298861687
3,13,5,1298932770
3,34,3,1298921795
3,22,4,1298861628
3,24,3,1298861605
3,35,4,1298861658
3,3,3.5,1298922089
3,39,4.5,1298923236
3,4,4,1298863143
3,37,4,1298921862
3,34,4,1298861753
3,17,3,1298861789
3,3,3,1298862710
3,6,3.5,1298861796
3,27,3,1298924017
3,2,3.5,1298922057
3,17,4,1298861733
3,33,4,1298921825
3,15,5,1298862874
3,22,3,1298861968
3,5,4,1298861633
3,24,5,1298863174
3,10,3,1298923266
3,7,3.5,1298862672
3,31,3,1298922080
3,6,2.5,1298921787
3,37,3,1298922065
3,24,3.5,1298861650
3,14,3,1298932766
3,33,3.5,1298862555
3,10,3.5,1298932740
3,11,4.5,1298862361
3,8,4.5,1298862467
3,40,3,1298922071
3,38,4,1298922130
4,35,4,949810645
4,4,5,949919556
4,9,5,949810582
4,36,5,949919681
4,18,4,949811346
4,16,3,949811346
4,7,3,949920047
4,40,5,949779042
4,7,4,949778802
4,9,5,949895708
4,10,3,949810618
4,17,5,949810582
4,4,5,949919763
4,7,5,949919681
4,12,5,949949538
4,3,4,949895887
4,10,3,949810534
4,33,3,949919883
4,33,3,949895772
4,10,4,949810688
4,14,1,949920135
4,10,4,949919802
4,36,4,949920028
4,36,4,949811315
4,30,5,949810582
4,14,5,949779091
4,26,5,949949486
4,5,5,949919938
4,26,3,949810534
4,21,5,949949538
4,31,5,949949638
4,5,4,949982238
4,37,5,949949444
4,26,5,949779022
4,8,5,949919189
4,10,4,949919306
4,33,5,949919247
4,3,5,949949396
4,20,4,949919454
4,37,4,949919322
4,39,5,949949638
4,23,5,949949638
4,11,5,949896377
4,22,5,949896377
4,35,5,949949538
4,27,5,949949638
4,8,5,949896244
4,4,5,949919372
4,8,5,949811523
4,39,5,949895732
4,11,5,949778771
4,22,5,949919399
4,20,5,949896275
4,23,5,949919372
4,38,5,949919419
4,3,5,949779173
4,5,5,949811490
4,22,5,949779173
4,8,5,949896244
4,16,5,949896159
4,8,5,949779173
4,2,5,949778714
4,31,5,949895708
4,34,5,949810261
4,23,5,949779173
4,12,5,949811523
4,23,5,949918693
4,22,5,949779173
4,27,5,949919372
4,9,5,949896244
4,31,5,949919519
4,30,5,949811602
4,32,5,949918743
4,10,4,949811559
4,29,5,949919591
4,37,5,949811523
4,8,5,949919372
4,17,5,949949396
4,21,4,949811559
4,11,5,949811490
4,37,5,949918743
4,7,4,949918927
4,31,4,949811602
4,20,4,949896275
4,22,5,949982274
4,12,5,949919247
4,36,4,949810582
4,4,4,949810302
4,6,3,949920004
4,40,4,949918787
4,22,3,949918904
4,18,3,949810688
4,24,5,949896377
4,17,5,949810261
4,15,4,949810302
4,2,5,949895772
4,24,3,949811230
4,4,5,949919978
4,25,4,949811559
4,31,5,949896244
4,9,1,949895864
4,33,5,949919738
4,31,4,949810688
4,4,2,949895956
4,1,5,949810261
4,15,5,949810261
4,26,5,949918743
4,14,3,949949538
4,6,5,949811559
4,36,5,949896309
4,1,5,949811602
4,17,3,949895907
4,19,2,949918970
4,19,5,949896070
4,5,4,949919454
4,8,5,949778771
4,30,4,949811738
4,37,4,949896114
4,16,4,949982239
4,18,4,949896183
4,37,5,949810618
4,3,3,949896114
4,9,5,949918648
4,40,5,949949444
4,12,5,949919306
4,40,4,949982239
4,19,5,949949444
4,38,5,949896114
4,8,5,949949638
4,39,5,949896183
4,13,4,949920028
4,28,5,949949538
4,29,5,949896114
4,25,5,949949396
4,37,4,949896114
4,1,5,949919399
4,37,3,949896309
4,34,5,949918927
4,9,5,949918994
